History_Header,FAK_Charge,SCFI_Charge,SPECIAL_Charge,Container_Types,Notes
POL,POL,POL,POL,,Base column
POD,POD,POD,POD,,Base column
Place,Place of Delivery,PlaceOfDelivery,PlaceOfDelivery,,Base column
Carrier,CARRIER,HPL (default),CARRIER,,HPL fixed for SCFI
Commodity,Commodity,,Commodity,,SCFI has no Commodity
Eff,Effective Date,Effective Date,Effective Date,,Base column
Exp,Expiration Date,Expiration Date,Expiration Date,,Base column
Contract,Contract Identifier,,Contract Identifier,,SCFI has no Contract
Note,Routing note,BLANK,Routing note,,
ALL_IN_20GP,ALL IN COST (20GP),ALL IN COST (20'),Base Ocean Freight (20GP),"20GP,20'",SPECIAL uses Base as All-In
ALL_IN_40GP,ALL IN COST (40GP),ALL IN COST (40'),Base Ocean Freight (40GP),"40GP,40'",
ALL_IN_40HQ,ALL IN COST (40HQ),ALL IN COST (40'HC),Base Ocean Freight (40HQ),"40HQ,40'HC",
ALL_IN_45HQ,ALL IN COST (45'HQ),,Base Ocean Freight (45'HQ),45'HQ,SCFI has no 45HQ
ALL_IN_40NOR,ALL IN COST (40NOR),,Base Ocean Freight (40NOR),40NOR,SCFI has no 40NOR
BASIC_20GP,BASIC O/F (20GP),BASIC O/F (20'),,"20GP,20'",SPECIAL has no Basic
BASIC_40GP,BASIC O/F (40GP),BASIC O/F (40'),,"40GP,40'",
BASIC_40HQ,BASIC O/F (40HQ),BASIC O/F (40'HC),,"40HQ,40'HC",
BASIC_45HQ,BASIC O/F (45'HQ),,,45'HQ,
BASIC_40NOR,BASIC O/F (40NOR),,,40NOR,
ARB_OLF_20GP,ARB/OLF (20GP),,,20GP,FAK only
ARB_OLF_40GP,ARB/OLF (40GP),,,40GP,
ARB_OLF_40HQ,ARB/OLF (40HQ),,,40HQ,
ARB_OLF_45HQ,ARB/OLF (45'HQ),,,45'HQ,
PREMIUM_HDL_20GP,PREMIUM ADD ON/HDL FEE US FOR SOC (20GP),,,20GP,FAK only
PREMIUM_HDL_40GP,PREMIUM ADD ON/HDL FEE US FOR SOC (40GP),,,40GP,
PREMIUM_HDL_40HQ,PREMIUM ADD ON/HDL FEE US FOR SOC (40HQ),,,40HQ,
